,To:Fr,S01,S13,S14,S15,S21,S22,S23,S24,S25,S26,S27,S31,S32,S33,S34,S35,S36,S37,S38,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S72,S73,S74,S75,S76,S77,S78,S79,S83,S84,S85,S86,S87,S88,S89,S94,S95,S96,S97,S98,S99
MW,BYO,1213,1105,1285,1525,870,841,944,1145,1404,1691,1994,702,666,790,1017,1295,1595,1906,2224,751,540,493,647,905,1202,1513,1830,2151,2474,604,322,239,475,781,1100,1421,1743,2064,2385,556,235,102,417,739,1063,1384,1704,2023,2340,561,159,429,738,1053,1368,1681,1995,2306,506,778,1073,1374,1677,1981,2285,852,1119,1401,1690,1982,2276
MW,CED,1445,1051,1085,1221,1152,964,875,915,1070,1298,1567,1018,806,700,748,927,1178,1462,1765,1187,899,657,525,586,797,1072,1372,1683,2000,1075,763,469,266,368,645,953,1269,1589,1909,1032,712,395,104,272,588,908,1227,1546,1865,1017,391,113,271,581,895,1209,1523,1836,276,368,625,916,1215,1519,1823,509,710,968,1246,1534,1826
MW,CUP,1309,1063,1183,1383,985,875,891,1029,1248,1513,1803,832,701,721,882,1125,1407,1707,2019,945,689,529,554,747,1017,1315,1625,1942,2262,816,515,279,323,587,895,1212,1531,1851,2171,769,450,143,214,529,850,1171,1489,1808,2126,760,157,222,525,840,1154,1468,1781,2093,338,577,865,1164,1466,1771,2075,673,924,1200,1485,1776,2070
MW,ELK,1255,1079,1232,1453,922,851,912,1085,1326,1604,1900,760,675,750,948,1211,1503,1809,2124,844,607,499,594,825,1111,1416,1730,2050,2371,707,413,236,394,685,1000,1319,1639,1961,2281,660,339,61,317,637,959,1280,1600,1919,2236,657,116,327,635,949,1264,1578,1891,2203,419,679,972,1272,1574,1879,2183,763,1023,1303,1590,1882,2175
MW,FWA,1193,1055,1229,1467,855,803,893,1089,1346,1635,1939,692,628,736,960,1238,1540,1853,2173,771,536,453,591,848,1147,1460,1779,2103,2427,640,340,192,418,728,1050,1373,1696,2020,2342,604,279,46,369,693,1018,1340,1661,1981,2300,616,170,398,702,1015,1330,1643,1957,2270,493,752,1042,1341,1643,1948,2252,837,1097,1375,1662,1953,2246
MW,GBW,1532,1285,1375,1537,1201,1107,1111,1212,1389,1617,1875,1040,933,938,1052,1248,1492,1762,2050,1097,885,760,765,899,1116,1377,1659,1954,2256,923,671,504,511,689,946,1232,1529,1833,2139,834,553,339,350,574,858,1158,1462,1769,2076,775,194,212,495,800,1107,1413,1719,2024,171,472,777,1081,1384,1686,1986,512,794,1084,1376,1670,1962
MW,GEE,2032,1354,1120,959,1833,1525,1234,978,793,737,834,1751,1433,1127,848,632,562,682,922,2009,1682,1358,1040,737,481,387,544,818,1128,1935,1609,1282,954,628,308,129,396,718,1046,1904,1581,1259,934,610,285,72,376,700,1025,1888,1259,947,641,360,236,433,725,1034,991,715,489,409,543,789,1071,820,640,584,682,883,1135
MW,GFK,2067,1632,1578,1592,1763,1587,1462,1403,1418,1507,1655,1618,1429,1293,1227,1245,1342,1503,1709,1717,1480,1276,1126,1052,1072,1181,1356,1576,1824,1545,1288,1060,882,790,815,948,1151,1393,1658,1445,1176,929,726,615,647,803,1028,1287,1561,1360,815,583,442,483,673,923,1197,1479,461,272,333,568,842,1126,1414,118,222,504,791,1079,1367
MW,HER,1849,1224,1053,981,1624,1338,1083,890,805,862,1036,1529,1229,953,733,630,699,901,1168,1769,1449,1137,840,586,454,544,781,1072,1383,1685,1361,1039,718,410,193,351,652,971,1294,1650,1328,1006,683,359,36,292,615,938,1261,1632,1004,691,388,165,329,626,938,1252,742,484,339,440,684,969,1267,616,514,583,778,1029,1305
MW,JAC,1273,1162,1333,1563,930,903,999,1190,1438,1717,2013,761,728,842,1057,1324,1616,1921,2234,790,595,554,694,937,1224,1528,1840,2156,2475,626,366,298,506,798,1109,1426,1743,2062,2380,561,253,141,427,743,1062,1381,1698,2015,2330,546,114,413,727,1043,1357,1669,1981,2292,469,752,1052,1355,1658,1962,2265,816,1089,1375,1665,1958,2251
MW,LSL,1316,1007,1102,1287,1006,857,833,942,1149,1410,1698,863,689,659,790,1023,1303,1604,1917,1014,735,525,486,649,913,1211,1523,1842,2164,903,589,306,236,483,793,1112,1433,1756,2078,866,543,222,110,430,754,1076,1397,1718,2037,863,258,175,445,755,1068,1382,1696,2010,333,522,795,1089,1389,1692,1997,639,869,1136,1417,1706,1998
MW,MAS,1502,1070,1075,1187,1216,1012,896,902,1031,1242,1501,1088,860,723,731,881,1116,1392,1691,1266,974,718,552,562,743,1004,1298,1606,1922,1157,843,544,305,323,574,877,1190,1508,1828,1112,793,476,171,200,509,828,1146,1465,1784,1094,467,165,194,500,814,1128,1442,1755,295,311,550,837,1136,1439,1743,467,645,895,1170,1457,1749
MW,MND,2251,1748,1640,1594,1964,1756,1586,1469,1419,1443,1536,1828,1609,1427,1299,1243,1270,1372,1537,1955,1700,1468,1272,1131,1068,1098,1212,1391,1612,1793,1524,1273,1051,883,805,842,981,1187,1430,1698,1421,1157,916,724,629,675,838,1065,1323,1616,1058,797,575,455,514,709,959,1231,702,446,281,367,604,876,1159,358,113,258,537,823,1110
MW,NLW,1509,1167,1218,1357,1198,1046,991,1049,1204,1424,1682,1052,880,816,884,1059,1298,1571,1863,1175,916,718,640,722,924,1185,1471,1773,2081,1036,744,494,376,499,754,1046,1351,1662,1975,972,663,373,201,381,674,982,1293,1607,1920,936,311,25,319,634,947,1258,1569,1879,151,347,641,943,1246,1550,1853,448,693,971,1258,1550,1843
MW,OWT,1658,1250,1248,1337,1358,1178,1076,1074,1174,1352,1582,1218,1020,902,900,1015,1212,1458,1733,1354,1089,868,730,728,862,1082,1346,1632,1930,1214,923,662,477,473,654,916,1205,1506,1813,1144,841,552,317,311,543,833,1135,1443,1752,1098,483,187,178,473,781,1089,1398,1706,178,169,463,766,1070,1373,1676,295,516,791,1078,1371,1664
MW,SDL,1303,788,785,929,1061,795,618,614,786,1051,1354,965,670,452,447,660,954,1273,1603,1225,893,572,298,290,561,882,1212,1547,1883,1177,843,510,176,163,498,832,1165,1498,1830,1177,855,541,264,255,529,844,1165,1490,1814,1203,621,412,407,612,890,1191,1501,1815,576,573,728,967,1241,1532,1831,743,864,1067,1313,1582,1864
MW,SHL,1703,1213,1158,1203,1427,1204,1045,982,1034,1184,1401,1302,1060,881,807,867,1038,1274,1548,1479,1190,927,721,631,705,902,1160,1448,1750,1361,1054,760,502,368,479,731,1022,1328,1640,1305,992,683,387,192,358,651,959,1272,1586,1270,646,332,23,299,613,925,1238,1549,363,161,334,623,923,1227,1531,336,442,680,954,1241,1533
MW,SJF,1443,905,857,948,1198,934,740,682,791,1014,1292,1097,809,581,507,643,898,1197,1514,1342,1017,706,435,333,514,804,1121,1448,1778,1276,945,615,287,84,392,722,1052,1383,1712,1261,936,613,297,123,397,718,1041,1366,1690,1269,659,395,291,472,755,1058,1370,1685,534,465,592,828,1104,1397,1697,640,734,929,1173,1444,1726
MW,STP,1708,1309,1307,1391,1405,1233,1135,1133,1226,1395,1616,1262,1073,962,959,1065,1251,1488,1754,1384,1128,918,789,786,909,1117,1370,1649,1941,1234,953,704,534,529,693,940,1220,1515,1816,1157,861,584,370,363,571,847,1142,1444,1749,1102,498,225,214,483,783,1086,1392,1697,162,146,451,755,1057,1360,1662,242,484,767,1057,1350,1643
MW,SWI,1564,1268,1333,1477,1240,1120,1093,1166,1324,1540,1791,1085,949,917,1002,1178,1411,1675,1959,1168,937,780,742,842,1041,1292,1570,1863,2163,1005,738,535,481,618,861,1141,1437,1740,2046,922,632,385,308,492,768,1065,1369,1675,1983,867,268,144,403,707,1014,1320,1627,1933,89,381,686,990,1293,1596,1897,435,710,998,1289,1583,1876
MW,TRV,1507,1343,1469,1657,1165,1120,1173,1312,1515,1757,2024,996,944,1005,1161,1381,1637,1914,2204,1000,830,769,841,1018,1256,1527,1813,2110,2412,804,590,505,605,825,1096,1387,1685,1989,2294,699,446,330,465,722,1013,1314,1617,1923,2228,626,154,358,651,956,1261,1566,1870,2174,318,622,928,1231,1532,1832,2131,642,932,1225,1517,1810,2102
DS,BST,1700,956,661,470,1570,1221,877,550,302,372,664,1530,1180,828,479,153,264,604,955,1857,1509,1163,815,467,132,250,592,940,1288,1849,1515,1186,863,563,352,409,666,978,1305,1864,1544,1232,936,678,521,560,764,1040,1344,1894,1301,1033,815,694,723,885,1126,1404,1149,964,868,890,1023,1230,1481,1121,1042,1060,1170,1350,1575
DS,DEL,1541,779,407,62,1524,1162,803,461,233,413,748,1544,1197,863,567,408,530,813,1144,1922,1583,1256,951,701,583,672,907,1206,1532,1987,1674,1382,1123,929,847,908,1087,1338,1628,2046,1754,1485,1255,1090,1022,1072,1224,1446,1710,2118,1601,1396,1254,1198,1240,1369,1565,1806,1544,1421,1374,1409,1521,1694,1913,1590,1549,1580,1677,1831,2028
DS,ELP,1960,1189,825,466,1893,1531,1167,802,436,73,295,1882,1526,1170,817,473,208,351,681,2234,1886,1541,1199,867,565,378,470,744,1068,2252,1922,1598,1286,997,760,639,696,897,1170,2279,1964,1658,1369,1110,910,814,858,1023,1264,2319,1734,1468,1238,1067,989,1024,1163,1373,1580,1376,1229,1164,1194,1311,1495,1521,1395,1340,1364,1465,1626
DS,FTW,1308,549,268,336,1217,856,495,141,245,604,965,1208,853,499,171,262,606,959,1316,1569,1223,884,562,317,373,656,985,1328,1674,1611,1291,989,728,569,600,800,1077,1386,1709,1660,1362,1089,866,741,765,926,1167,1450,1754,1726,1206,1016,915,933,1066,1275,1531,1814,1172,1089,1104,1215,1397,1627,1887,1263,1276,1370,1528,1735,1973
DS,GRL,1065,327,247,536,971,609,247,126,487,850,1212,969,617,277,181,499,851,1206,1562,1340,998,671,393,334,568,887,1224,1569,1917,1402,1094,819,622,587,740,997,1296,1614,1942,1467,1186,946,786,760,881,1100,1369,1666,1977,1550,1087,955,934,1032,1219,1460,1734,2026,1126,1109,1189,1350,1565,1816,2088,1283,1352,1490,1681,1910,2162
