Sales,Price,Region,Product,Year,Month,Source,Indicator
5797,1.112116865,MW,ORA,2005,Jul,MomPop,0
729,2.612128984,MW,ORA,2005,Aug,MomPop,0
1844,1.341699342,DS,ORA,2005,Sep,MomPop,0
1805,1.335250621,DS,ORA,2005,Oct,MomPop,0
978,1.753900872,DS,ORA,2005,Nov,MomPop,0
833,1.93268987,DS,ORA,2005,Dec,MomPop,0
1409,1.408654589,DS,ORA,2005,Jan,MomPop,0
2080,1.217925593,DS,ORA,2005,Feb,MomPop,0
257,3.287418994,DS,ORA,2005,Mar,MomPop,0
283,3.496112498,DS,ORA,2005,Apr,MomPop,0
313,3.083965253,DS,ORA,2005,May,MomPop,0
1481,1.470913794,DS,ORA,2005,Jun,MomPop,0
225,3.555277518,DS,ORA,2005,Jul,MomPop,0
377,2.839161596,DS,ORA,2005,Aug,MomPop,0
177,3.223541224,NW,ORA,2005,Sep,MomPop,0
235,2.508863991,NW,ORA,2005,Oct,MomPop,0
260,2.493331406,NW,ORA,2005,Nov,MomPop,0
442,1.965308863,NW,ORA,2005,Dec,MomPop,0
360,2.153573915,NW,ORA,2005,Jan,MomPop,0
743,1.608408338,NW,ORA,2005,Feb,MomPop,0
169,3.321123411,NW,ORA,2005,Mar,MomPop,0
357,2.254031904,NW,ORA,2005,Apr,MomPop,0
592,1.704489461,NW,ORA,2005,May,MomPop,0
352,2.403640537,NW,ORA,2005,Jun,MomPop,0
152,3.170107742,NW,ORA,2005,Jul,MomPop,0
117,3.59697942,NW,ORA,2005,Aug,MomPop,0
714,1.930653714,SW,ORA,2005,Sep,MomPop,0
1400,1.341148307,SW,ORA,2005,Oct,MomPop,0
637,1.842800012,SW,ORA,2005,Nov,MomPop,0
351,2.698078602,SW,ORA,2005,Dec,MomPop,0
413,2.43024178,SW,ORA,2005,Jan,MomPop,0
181,3.437541366,SW,ORA,2005,Feb,MomPop,0
427,2.436681576,SW,ORA,2005,Mar,MomPop,0
504,2.375443953,SW,ORA,2005,Apr,MomPop,0
198,3.344887742,SW,ORA,2005,May,MomPop,0
507,2.304429675,SW,ORA,2005,Jun,MomPop,0
275,2.979341237,SW,ORA,2005,Jul,MomPop,0
421,2.37177266,SW,ORA,2005,Aug,MomPop,0
2961,1.295973708,NE,POJ,2005,Oct,MomPop,0
350,3.509320576,NE,POJ,2005,Nov,MomPop,0
1362,1.88932853,NE,POJ,2005,Dec,MomPop,0
441,3.180071876,NE,POJ,2005,Jan,MomPop,0
2080,1.527678002,NE,POJ,2005,Feb,MomPop,0
650,2.930932957,NE,POJ,2005,Mar,MomPop,0
3106,1.27020746,NE,POJ,2005,Apr,MomPop,0
4503,1.141628965,NE,POJ,2005,May,MomPop,0
752,2.50200056,NE,POJ,2005,Jun,MomPop,0
1045,2.243345269,NE,POJ,2005,Jul,MomPop,0
770,2.480624434,NE,POJ,2005,Aug,MomPop,0
1219,3.07619102,MA,POJ,2005,Oct,MomPop,0
1731,2.496087503,MA,POJ,2005,Nov,MomPop,0
938,3.199104041,MA,POJ,2005,Dec,MomPop,0
1294,2.885767336,MA,POJ,2005,Jan,MomPop,0
1261,3.044346423,MA,POJ,2005,Feb,MomPop,0
6421,1.34562136,MA,POJ,2005,Mar,MomPop,0
887,3.391972488,MA,POJ,2005,Apr,MomPop,0
1010,3.379094756,MA,POJ,2005,May,MomPop,0
781,3.581139985,MA,POJ,2005,Jun,MomPop,0
9287,1.109479471,MA,POJ,2005,Jul,MomPop,0
8404,1.069273022,MA,POJ,2005,Aug,MomPop,0
858,2.272173112,SE,POJ,2005,Oct,MomPop,0
468,3.057479836,SE,POJ,2005,Nov,MomPop,0
939,2.295836537,SE,POJ,2005,Dec,MomPop,0
654,2.757091282,SE,POJ,2005,Jan,MomPop,0
4975,1.066884785,SE,POJ,2005,Feb,MomPop,0
1111,2.260160349,SE,POJ,2005,Mar,MomPop,0
764,2.669586199,SE,POJ,2005,Apr,MomPop,0
1137,2.14501363,SE,POJ,2005,May,MomPop,0
950,2.479339119,SE,POJ,2005,Jun,MomPop,0
2730,1.420424034,SE,POJ,2005,Jul,MomPop,0
700,2.712643707,SE,POJ,2005,Aug,MomPop,0
791.587986,2.702870726,MW,POJ,2005,Oct,MomPop,0
512.2054661,3.100040546,MW,POJ,2005,Nov,MomPop,0
479.6466447,3.494970734,MW,POJ,2005,Dec,MomPop,0
1754.456036,1.874996258,MW,POJ,2005,Jan,MomPop,0
1389.148962,1.918879986,MW,POJ,2005,Feb,MomPop,0
952.4040576,2.501979848,MW,POJ,2005,Mar,MomPop,0
1395.278308,2.015165389,MW,POJ,2005,Apr,MomPop,0
1375.681891,2.284626151,MW,POJ,2005,May,MomPop,0
2129.035422,1.718056737,MW,POJ,2005,Jun,MomPop,0
1540.576769,2.051309601,MW,POJ,2005,Jul,MomPop,0
1105.501181,2.506489685,MW,POJ,2005,Aug,MomPop,0
184,3.582383747,DS,ORA,2006,Sep,MomPop,0
322,2.888713804,DS,ORA,2006,Oct,MomPop,0
744,1.563412616,NW,ORA,2006,Sep,MomPop,0
226,2.825492724,NW,ORA,2006,Oct,MomPop,0
326,2.576712245,SW,ORA,2006,Sep,MomPop,0
1808,1.204680036,SW,ORA,2006,Oct,MomPop,0
2714,1.529726127,DS,POJ,2006,Oct,MomPop,0
2649,1.55728797,DS,POJ,2006,Nov,MomPop,0
1141,2.430345312,DS,POJ,2006,Dec,MomPop,0
4709,1.250558008,DS,POJ,2006,Jan,MomPop,0
773,2.773016232,DS,POJ,2006,Feb,MomPop,0
582,3.072195236,DS,POJ,2006,Mar,MomPop,0
662,2.959543463,DS,POJ,2006,Apr,MomPop,0
1679,2.022571782,DS,POJ,2006,May,MomPop,0
2887,1.593698169,DS,POJ,2006,Jun,MomPop,0
4713,1.235394347,DS,POJ,2006,Jul,MomPop,0
1213,2.288046286,DS,POJ,2006,Aug,MomPop,0
337,2.501073462,NW,POJ,2006,Oct,MomPop,0
344,2.544893407,NW,POJ,2006,Nov,MomPop,0
277,2.936071651,NW,POJ,2006,Dec,MomPop,0
283,2.799446278,NW,POJ,2006,Jan,MomPop,0
523,2.157688389,NW,POJ,2006,Feb,MomPop,0
325,2.605598926,NW,POJ,2006,Mar,MomPop,0
860,1.572855195,NW,POJ,2006,Apr,MomPop,0
387,2.433098634,NW,POJ,2006,May,MomPop,0
307,2.506530316,NW,POJ,2006,Jun,MomPop,0
418,2.34934444,NW,POJ,2006,Jul,MomPop,0
870,1.754013586,NW,POJ,2006,Aug,MomPop,0
658,2.434317502,SW,POJ,2006,Oct,MomPop,0
716,2.249159298,SW,POJ,2006,Nov,MomPop,0
971,1.907545565,SW,POJ,2006,Dec,MomPop,0
473,2.770429123,SW,POJ,2006,Jan,MomPop,0
470,2.916312514,SW,POJ,2006,Feb,MomPop,0
902,2.183426633,SW,POJ,2006,Mar,MomPop,0
393,3.041607068,SW,POJ,2006,Apr,MomPop,0
2076,1.34801876,SW,POJ,2006,May,MomPop,0
691,2.563504469,SW,POJ,2006,Jun,MomPop,0
411,2.924010333,SW,POJ,2006,Jul,MomPop,0
1082,1.874366183,SW,POJ,2006,Aug,MomPop,0
2256,1.331897002,DS,ROJ,2006,Oct,MomPop,0
379,2.864829955,DS,ROJ,2006,Nov,MomPop,0
419,2.704943937,DS,ROJ,2006,Dec,MomPop,0
269,3.185063647,DS,ROJ,2006,Jan,MomPop,0
2483,1.198700295,DS,ROJ,2006,Feb,MomPop,0
318,3.088357207,DS,ROJ,2006,Mar,MomPop,0
280,3.366865837,DS,ROJ,2006,Apr,MomPop,0
404,2.993297523,DS,ROJ,2006,May,MomPop,0
2764,1.167132347,DS,ROJ,2006,Jun,MomPop,0
328,3.108987276,DS,ROJ,2006,Jul,MomPop,0
335,3.293581442,DS,ROJ,2006,Aug,MomPop,0
160,2.988013414,NW,ROJ,2006,Oct,MomPop,0
646,1.666358342,NW,ROJ,2006,Nov,MomPop,0
959,1.298573924,NW,ROJ,2006,Dec,MomPop,0
144,3.329506773,NW,ROJ,2006,Jan,MomPop,0
229,2.65869232,NW,ROJ,2006,Feb,MomPop,0
130,3.384468268,NW,ROJ,2006,Mar,MomPop,0
1507,1.100753012,NW,ROJ,2006,Apr,MomPop,0
416,2.034541704,NW,ROJ,2006,May,MomPop,0
454,1.93332463,NW,ROJ,2006,Jun,MomPop,0
133,3.241671413,NW,ROJ,2006,Jul,MomPop,0
320,2.287166611,NW,ROJ,2006,Aug,MomPop,0
422,3.018797451,SW,ROJ,2006,Oct,MomPop,0
364,3.185024931,SW,ROJ,2006,Nov,MomPop,0
424,3.000651925,SW,ROJ,2006,Dec,MomPop,0
1321,1.73946805,SW,ROJ,2006,Jan,MomPop,0
299,3.461538113,SW,ROJ,2006,Feb,MomPop,0
1411,1.570255915,SW,ROJ,2006,Mar,MomPop,0
528,2.449133776,SW,ROJ,2006,Apr,MomPop,0
2919,1.115700628,SW,ROJ,2006,May,MomPop,0
719,2.401108455,SW,ROJ,2006,Jun,MomPop,0
1039,2.002740496,SW,ROJ,2006,Jul,MomPop,0
307,3.558628597,SW,ROJ,2006,Aug,MomPop,0
930,2.066830086,NE,FCOJ,2006,Sep,MomPop,0
699,2.272311216,NE,FCOJ,2006,Oct,MomPop,0
2644,1.239658884,NE,FCOJ,2006,Nov,MomPop,0
480,2.79996982,NE,FCOJ,2006,Dec,MomPop,0
292,3.422482971,NE,FCOJ,2006,Jan,MomPop,0
377,2.97226176,NE,FCOJ,2006,Feb,MomPop,0
499,2.659243142,NE,FCOJ,2006,Mar,MomPop,0
1821,1.684014296,NE,FCOJ,2006,Apr,MomPop,0
2384,1.5393282,NE,FCOJ,2006,May,MomPop,0
335,3.405488292,NE,FCOJ,2006,Jun,MomPop,0
769,2.452676518,NE,FCOJ,2006,Jul,MomPop,0
1009,2.254420005,NE,FCOJ,2006,Aug,MomPop,0
307,3.057888637,MA,FCOJ,2006,Sep,MomPop,0
353,2.968933089,MA,FCOJ,2006,Oct,MomPop,0
644,2.410553816,MA,FCOJ,2006,Nov,MomPop,0
1583,1.678922713,MA,FCOJ,2006,Dec,MomPop,0
312,3.159365692,MA,FCOJ,2006,Jan,MomPop,0
306,3.22250713,MA,FCOJ,2006,Feb,MomPop,0
2432,1.262703968,MA,FCOJ,2006,Mar,MomPop,0
657,2.423551507,MA,FCOJ,2006,Apr,MomPop,0
568,2.457905206,MA,FCOJ,2006,May,MomPop,0
680,2.497850898,MA,FCOJ,2006,Jun,MomPop,0
797,2.241136871,MA,FCOJ,2006,Jul,MomPop,0
2852,1.255554189,MA,FCOJ,2006,Aug,MomPop,0
379,3.236617693,SE,FCOJ,2006,Sep,MomPop,0
625,2.643659296,SE,FCOJ,2006,Oct,MomPop,0
417,3.023756624,SE,FCOJ,2006,Nov,MomPop,0
2944,1.347431329,SE,FCOJ,2006,Dec,MomPop,0
2549,1.347128441,SE,FCOJ,2006,Jan,MomPop,0
306,3.414299773,SE,FCOJ,2006,Feb,MomPop,0
4594,1.0469501,SE,FCOJ,2006,Mar,MomPop,0
1556,1.865742625,SE,FCOJ,2006,Apr,MomPop,0
526,2.852315483,SE,FCOJ,2006,May,MomPop,0
781,2.400739169,SE,FCOJ,2006,Jun,MomPop,0
1694,1.667922421,SE,FCOJ,2006,Jul,MomPop,0
777,2.502859793,SE,FCOJ,2006,Aug,MomPop,0
1937,1.893843141,MW,FCOJ,2006,Sep,MomPop,0
575,2.923963132,MW,FCOJ,2006,Oct,MomPop,0
1112,2.180122794,MW,FCOJ,2006,Nov,MomPop,0
3005,1.455578458,MW,FCOJ,2006,Dec,MomPop,0
353,3.489160609,MW,FCOJ,2006,Jan,MomPop,0
797,2.572162097,MW,FCOJ,2006,Feb,MomPop,0
2028,1.63151552,MW,FCOJ,2006,Mar,MomPop,0
718,2.736745628,MW,FCOJ,2006,Apr,MomPop,0
383,3.450790236,MW,FCOJ,2006,May,MomPop,0
1189,2.043967498,MW,FCOJ,2006,Jun,MomPop,0
436,3.214298566,MW,FCOJ,2006,Jul,MomPop,0
1146,2.327711418,MW,FCOJ,2006,Aug,MomPop,0
4351,1.009363242,DS,FCOJ,2006,Sep,MomPop,0
220,3.392525948,DS,FCOJ,2006,Oct,MomPop,0
4414,1.004924352,DS,FCOJ,2006,Nov,MomPop,0
4518,1.025057311,DS,FCOJ,2006,Dec,MomPop,0
2999,1.189184677,DS,FCOJ,2006,Jan,MomPop,0
2091,1.345580432,DS,FCOJ,2006,Feb,MomPop,0
379,2.995773588,DS,FCOJ,2006,Mar,MomPop,0
3072,1.28484816,DS,FCOJ,2006,Apr,MomPop,0
1147,1.66602379,DS,FCOJ,2006,May,MomPop,0
235,3.57819171,DS,FCOJ,2006,Jun,MomPop,0
408,2.883419936,DS,FCOJ,2006,Jul,MomPop,0
357,3.092621994,DS,FCOJ,2006,Aug,MomPop,0
144,3.139189337,NW,FCOJ,2006,Sep,MomPop,0
841,1.398100089,NW,FCOJ,2006,Oct,MomPop,0
130,3.379063773,NW,FCOJ,2006,Nov,MomPop,0
157,3.006102687,NW,FCOJ,2006,Dec,MomPop,0
177,2.927928617,NW,FCOJ,2006,Jan,MomPop,0
241,2.685575102,NW,FCOJ,2006,Feb,MomPop,0
590,1.998805158,NW,FCOJ,2006,Mar,MomPop,0
428,2.086281278,NW,FCOJ,2006,Apr,MomPop,0
617,1.817802875,NW,FCOJ,2006,May,MomPop,0
860,1.582626655,NW,FCOJ,2006,Jun,MomPop,0
827,1.570985723,NW,FCOJ,2006,Jul,MomPop,0
1214,1.3627757,NW,FCOJ,2006,Aug,MomPop,0
248,3.445917196,SW,FCOJ,2006,Sep,MomPop,0
243,3.401554265,SW,FCOJ,2006,Oct,MomPop,0
282,2.956997162,SW,FCOJ,2006,Nov,MomPop,0
1158,1.385296668,SW,FCOJ,2006,Dec,MomPop,0
532,2.389919268,SW,FCOJ,2006,Jan,MomPop,0
1788,1.351790914,SW,FCOJ,2006,Feb,MomPop,0
1661,1.383583245,SW,FCOJ,2006,Mar,MomPop,0
371,2.671433232,SW,FCOJ,2006,Apr,MomPop,0
972,1.734220546,SW,FCOJ,2006,May,MomPop,0
716,2.063445704,SW,FCOJ,2006,Jun,MomPop,0
327,2.904597468,SW,FCOJ,2006,Jul,MomPop,0
333,3.018713852,SW,FCOJ,2006,Aug,MomPop,0
254,3.5162189,DS,ORA,2007,Oct,MomPop,0
472,2.3239354,DS,ORA,2007,Nov,MomPop,0
315,3.128003253,DS,ORA,2007,Dec,MomPop,0
2126,1.307890933,DS,ORA,2007,Jan,MomPop,0
503,2.390446674,DS,ORA,2007,Feb,MomPop,0
382,2.870467316,DS,ORA,2007,Mar,MomPop,0
1590,1.534527369,DS,ORA,2007,Apr,MomPop,0
685,2.243601051,DS,ORA,2007,May,MomPop,0
275,3.369882845,DS,ORA,2007,Jun,MomPop,0
352,2.933997123,DS,ORA,2007,Jul,MomPop,0
682,2.183018336,DS,ORA,2007,Aug,MomPop,0
146,3.48024919,NW,ORA,2007,Oct,MomPop,0
171,3.233678304,NW,ORA,2007,Nov,MomPop,0
126,3.576846843,NW,ORA,2007,Dec,MomPop,0
471,1.963102088,NW,ORA,2007,Jan,MomPop,0
172,3.074573009,NW,ORA,2007,Feb,MomPop,0
363,2.371624366,NW,ORA,2007,Mar,MomPop,0
217,3.17382305,NW,ORA,2007,Apr,MomPop,0
157,3.07978268,NW,ORA,2007,May,MomPop,0
163,3.504645818,NW,ORA,2007,Jun,MomPop,0
206,2.927227203,NW,ORA,2007,Jul,MomPop,0
314,2.673276328,NW,ORA,2007,Aug,MomPop,0
457,1.983768982,SW,ORA,2007,Oct,MomPop,0
223,3.263709646,SW,ORA,2007,Nov,MomPop,0
927,1.709538499,SW,ORA,2007,Dec,MomPop,0
202,3.30085393,SW,ORA,2007,Jan,MomPop,0
1106,1.389952728,SW,ORA,2007,Feb,MomPop,0
790,1.62949956,SW,ORA,2007,Mar,MomPop,0
1343,1.398707486,SW,ORA,2007,Apr,MomPop,0
229,3.182912278,SW,ORA,2007,May,MomPop,0
1833,1.243860512,SW,ORA,2007,Jun,MomPop,0
477,2.243324651,SW,ORA,2007,Jul,MomPop,0
199,3.597661205,SW,ORA,2007,Aug,MomPop,0
1805,1.964089971,DS,POJ,2007,Sep,MomPop,0
279,2.699934795,NW,POJ,2007,Sep,MomPop,0
1609,1.446369388,SW,POJ,2007,Sep,MomPop,0
1522,1.629896764,NE,ROJ,2007,Sep,MomPop,0
308,3.470027654,NE,ROJ,2007,Oct,MomPop,0
1090,1.996539395,NE,ROJ,2007,Nov,MomPop,0
834,2.34672581,NE,ROJ,2007,Dec,MomPop,0
589,2.706313852,NE,ROJ,2007,Jan,MomPop,0
1284,1.822953761,NE,ROJ,2007,Feb,MomPop,0
946,2.209459394,NE,ROJ,2007,Mar,MomPop,0
1169.573642,2.054280947,NE,ROJ,2007,Apr,MomPop,0
364,3.528764566,NE,ROJ,2007,May,MomPop,0
2213,1.662627403,NE,ROJ,2007,Jun,MomPop,0
423.7993336,3.405454036,NE,ROJ,2007,Jul,MomPop,0
406.7334697,3.535548631,NE,ROJ,2007,Aug,MomPop,0
1089,2.78808027,MA,ROJ,2007,Sep,MomPop,0
3168,1.697329365,MA,ROJ,2007,Oct,MomPop,0
641,3.583509906,MA,ROJ,2007,Nov,MomPop,0
1855,2.296030854,MA,ROJ,2007,Dec,MomPop,0
573,3.485421476,MA,ROJ,2007,Jan,MomPop,0
7807,1.18144806,MA,ROJ,2007,Feb,MomPop,0
6119.792999,1.397958223,MA,ROJ,2007,Mar,MomPop,0
8030.88263,1.18759666,MA,ROJ,2007,Apr,MomPop,0
5281,1.463986151,MA,ROJ,2007,May,MomPop,0
777,3.203883711,MA,ROJ,2007,Jun,MomPop,0
1443,2.72881166,MA,ROJ,2007,Jul,MomPop,0
2353.286409,2.026885422,MA,ROJ,2007,Aug,MomPop,0
652,2.215844147,SE,ROJ,2007,Sep,MomPop,0
241,3.592455935,SE,ROJ,2007,Oct,MomPop,0
668,2.228913565,SE,ROJ,2007,Nov,MomPop,0
422,2.946704188,SE,ROJ,2007,Dec,MomPop,0
588,2.493609298,SE,ROJ,2007,Jan,MomPop,0
491,2.916508225,SE,ROJ,2007,Feb,MomPop,0
1769.720698,1.591905841,SE,ROJ,2007,Mar,MomPop,0
886.7204832,2.138133639,SE,ROJ,2007,Apr,MomPop,0
2316,1.403611712,SE,ROJ,2007,May,MomPop,0
319,3.200594954,SE,ROJ,2007,Jun,MomPop,0
1310.625889,1.618985608,SE,ROJ,2007,Jul,MomPop,0
2296.691398,1.311466004,SE,ROJ,2007,Aug,MomPop,0
1349,2.011610217,MW,ROJ,2007,Sep,MomPop,0
3258.202456,1.351841077,MW,ROJ,2007,Oct,MomPop,0
433.9131734,3.233736576,MW,ROJ,2007,Nov,MomPop,0
1943.670865,1.671946609,MW,ROJ,2007,Dec,MomPop,0
2188.434369,1.582569826,MW,ROJ,2007,Jan,MomPop,0
977.7910009,2.348920152,MW,ROJ,2007,Feb,MomPop,0
728.6478432,2.616289903,MW,ROJ,2007,Mar,MomPop,0
1010.133947,2.301188433,MW,ROJ,2007,Apr,MomPop,0
521.8859307,3.054037735,MW,ROJ,2007,May,MomPop,0
348.9583103,3.450972333,MW,ROJ,2007,Jun,MomPop,0
1431.704852,1.823300279,MW,ROJ,2007,Jul,MomPop,0
1043.278789,2.384261424,MW,ROJ,2007,Aug,MomPop,0
991,1.847360963,DS,ROJ,2007,Sep,MomPop,0
761,2.200386434,DS,ROJ,2007,Oct,MomPop,0
409.6641182,2.882786335,DS,ROJ,2007,Nov,MomPop,0
1347.705726,1.620760716,DS,ROJ,2007,Dec,MomPop,0
852.3472756,2.072796281,DS,ROJ,2007,Jan,MomPop,0
2037.222314,1.306146175,DS,ROJ,2007,Feb,MomPop,0
1501.240067,1.545899979,DS,ROJ,2007,Mar,MomPop,0
1815.867182,1.453604783,DS,ROJ,2007,Apr,MomPop,0
911.1217208,2.171538761,DS,ROJ,2007,May,MomPop,0
327.0854057,3.198950537,DS,ROJ,2007,Jun,MomPop,0
386.3706644,3.008195087,DS,ROJ,2007,Jul,MomPop,0
613.4952067,2.703104297,DS,ROJ,2007,Aug,MomPop,0
189,2.79408677,NW,ROJ,2007,Sep,MomPop,0
202.0451011,2.580838005,NW,ROJ,2007,Oct,MomPop,0
938,1.360887606,NW,ROJ,2007,Nov,MomPop,0
275,2.432206033,NW,ROJ,2007,Dec,MomPop,0
525.4640581,1.793567222,NW,ROJ,2007,Jan,MomPop,0
1311.738875,1.17266181,NW,ROJ,2007,Feb,MomPop,0
215.6976593,2.851483131,NW,ROJ,2007,Mar,MomPop,0
638.9441445,1.690264631,NW,ROJ,2007,Apr,MomPop,0
237.812061,2.888956126,NW,ROJ,2007,May,MomPop,0
279.3691231,2.59932656,NW,ROJ,2007,Jun,MomPop,0
169.235386,2.993103483,NW,ROJ,2007,Jul,MomPop,0
259.536043,2.632953721,NW,ROJ,2007,Aug,MomPop,0
479,2.93504427,SW,ROJ,2007,Sep,MomPop,0
1657.874416,1.443351777,SW,ROJ,2007,Oct,MomPop,0
370.5432431,2.90893308,SW,ROJ,2007,Nov,MomPop,0
545.4146591,2.720051429,SW,ROJ,2007,Dec,MomPop,0
374.1543119,2.988127544,SW,ROJ,2007,Jan,MomPop,0
969.3622115,1.980400989,SW,ROJ,2007,Feb,MomPop,0
1227.723847,1.834747091,SW,ROJ,2007,Mar,MomPop,0
420.6587113,2.890892566,SW,ROJ,2007,Apr,MomPop,0
1253.339314,1.745846017,SW,ROJ,2007,May,MomPop,0
332.7435053,3.116430318,SW,ROJ,2007,Jun,MomPop,0
2316.271914,1.26907583,SW,ROJ,2007,Jul,MomPop,0
2510.745972,1.246244138,SW,ROJ,2007,Aug,MomPop,0
302,3.278980823,NE,FCOJ,2007,Sep,MomPop,0
279,3.120811601,NE,FCOJ,2007,Oct,MomPop,0
3669,1.09207007,NE,FCOJ,2007,Nov,MomPop,0
364,3.005974395,NE,FCOJ,2007,Dec,MomPop,0
317,3.341121465,NE,FCOJ,2007,Jan,MomPop,0
289,3.263893781,NE,FCOJ,2007,Feb,MomPop,0
1229,1.947795673,NE,FCOJ,2007,Mar,MomPop,0
1032.573642,1.978152055,NE,FCOJ,2007,Apr,MomPop,0
1398,1.845381297,NE,FCOJ,2007,May,MomPop,0
3008,1.312366462,NE,FCOJ,2007,Jun,MomPop,0
504.7993336,2.551083472,NE,FCOJ,2007,Jul,MomPop,0
1161.73347,1.962496202,NE,FCOJ,2007,Aug,MomPop,0
4678,1.044125468,MA,FCOJ,2007,Sep,MomPop,0
783,2.1919777,MA,FCOJ,2007,Oct,MomPop,0
1780,1.401357173,MA,FCOJ,2007,Nov,MomPop,0
674,2.090955487,MA,FCOJ,2007,Dec,MomPop,0
876,2.15591493,MA,FCOJ,2007,Jan,MomPop,0
326,3.143812601,MA,FCOJ,2007,Feb,MomPop,0
312.7929992,3.276719202,MA,FCOJ,2007,Mar,MomPop,0
500.8826299,2.782006897,MA,FCOJ,2007,Apr,MomPop,0
498,2.602895846,MA,FCOJ,2007,May,MomPop,0
461,2.767739769,MA,FCOJ,2007,Jun,MomPop,0
3536,1.149319074,MA,FCOJ,2007,Jul,MomPop,0
1032.286409,1.986410733,MA,FCOJ,2007,Aug,MomPop,0
887,2.285072352,SE,FCOJ,2007,Sep,MomPop,0
251,3.59179117,SE,FCOJ,2007,Oct,MomPop,0
446,3.233821236,SE,FCOJ,2007,Nov,MomPop,0
996,2.038690622,SE,FCOJ,2007,Dec,MomPop,0
955,1.979240564,SE,FCOJ,2007,Jan,MomPop,0
3450,1.203613423,SE,FCOJ,2007,Feb,MomPop,0
4029.720698,1.129875924,SE,FCOJ,2007,Mar,MomPop,0
383.7204832,3.441577855,SE,FCOJ,2007,Apr,MomPop,0
546,2.806167598,SE,FCOJ,2007,May,MomPop,0
717,2.42074225,SE,FCOJ,2007,Jun,MomPop,0
2632.625889,1.495809109,SE,FCOJ,2007,Jul,MomPop,0
486.6913984,2.774151777,SE,FCOJ,2007,Aug,MomPop,0
857,2.509681569,MW,FCOJ,2007,Sep,MomPop,0
1079.202456,2.197347602,MW,FCOJ,2007,Oct,MomPop,0
436.9131734,3.526838592,MW,FCOJ,2007,Nov,MomPop,0
696.6708651,2.766492592,MW,FCOJ,2007,Dec,MomPop,0
1285.434369,2.104958405,MW,FCOJ,2007,Jan,MomPop,0
4030.791001,1.165273122,MW,FCOJ,2007,Feb,MomPop,0
1594.647843,1.981984306,MW,FCOJ,2007,Mar,MomPop,0
2221.157255,1.804254561,MW,FCOJ,2007,Apr,MomPop,0
365.5508276,3.555232768,MW,FCOJ,2007,May,MomPop,0
1914.602633,1.741755302,MW,FCOJ,2007,Jun,MomPop,0
4244.704852,1.261716481,MW,FCOJ,2007,Jul,MomPop,0
4841.278789,1.184894091,MW,FCOJ,2007,Aug,MomPop,0
324,3.273221209,DS,FCOJ,2007,Sep,MomPop,0
422,3.024752341,DS,FCOJ,2007,Oct,MomPop,0
